League ID,Season,VAR,Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points per Match,PPM Share,Points Share,MUD Share,Gini,HHI,Entropy,HICB,R Entropy,HRCB,Entropy Ratio,Gini Ratio,PPM HRCB,PPM Entropy Ratio,PPM Gini Ratio
D1,1314,0.0,9.5,34.0,13.444444444444445,7.111111111111111,13.444444444444445,53.72222222222222,53.72222222222222,0.0,47.44444444444444,1.3954248366013071,0.055555555555555504,0.05555555555555551,0.05555555555555555,0.1973718449128285,0.0625846683742026,4.0818021976282095,112.6524030735648,0.9788670530564405,0.3396171351325289,0.27257346613014,0.5609515592259336,0.3396171351325289,0.27257346613014,0.5609515592259335
D1,1415,0.0,9.5,34.0,12.444444444444445,9.11111111111111,12.444444444444445,46.833333333333336,46.833333333333336,0.0,46.44444444444444,1.3660130718954249,0.055555555555555504,0.05555555555555551,0.05555555555555555,0.1505847953216374,0.06004612989629351,4.115764151011722,108.08303381332848,0.9870115528668124,0.216965644463027,0.1675254314599958,0.4279778393351801,0.2169656444630266,0.1675254314599985,0.4279778393351801
D1,1516,0.0,9.5,34.0,13.055555555555555,7.888888888888889,13.055555555555555,48.111111111111114,48.111111111111114,0.0,47.05555555555556,1.3839869281045754,0.055555555555555525,0.055555555555555525,0.05555555555555555,0.1667978486160304,0.0613638802970132,4.10097635132708,110.4549845346239,0.983465254149323,0.2806337954030624,0.2132657125452879,0.4740570434350339,0.280633795403063,0.2132657125452879,0.47405704343503374
D1,1617,0.0,9.5,34.0,12.88888888888889,8.222222222222221,12.88888888888889,48.72222222222222,48.72222222222222,0.0,46.888888888888886,1.3790849673202612,0.05555555555555548,0.055555555555555525,0.05555555555555555,0.154160084254871,0.06019350418903429,4.112806833219295,108.34830754026191,0.9863023511925848,0.224086149764925,0.1766727386976374,0.4381391868296332,0.22408614976492341,0.1766727386976374,0.4381391868296331
D1,1718,1.0,9.5,34.0,12.38888888888889,9.222222222222221,12.38888888888889,47.5,47.5,0.0,46.388888888888886,1.3643790849673203,0.055555555555555525,0.05555555555555552,0.05555555555555555,0.1578842315369261,0.060326293520742896,4.109833814239348,108.58732833733733,0.9855893841778498,0.2305019711601073,0.1858686114247968,0.44872360542073725,0.2305019711601073,0.1858686114247968,0.44872360542073747
D1,1819,1.0,9.5,34.0,12.944444444444445,8.11111111111111,12.944444444444445,54.05555555555556,54.05555555555556,0.0,46.94444444444444,1.380718954248366,0.05555555555555552,0.05555555555555552,0.05555555555555555,0.1992767915844839,0.0624417912538076,4.077369618280163,112.39522425685378,0.9778040652697264,0.3327139142629172,0.2862839186407368,0.5663656181874804,0.3327139142629176,0.2862839186407341,0.5663656181874805
D1,1920,1.0,9.5,34.0,13.222222222222221,7.555555555555555,13.222222222222221,54.55555555555556,54.55555555555556,0.0,47.22222222222222,1.3888888888888888,0.05555555555555549,0.05555555555555552,0.05555555555555555,0.185359477124183,0.0616941176470588,4.091113225365964,111.04941176470588,0.9810999535845156,0.2965894736842106,0.2437734394189212,0.526811145510836,0.2965894736842089,0.2437734394189267,0.5268111455108359
D1,2021,1.0,9.5,34.0,12.5,9.0,12.5,51.55555555555556,51.55555555555556,0.0,46.5,1.3676470588235294,0.05555555555555551,0.055555555555555504,0.05555555555555555,0.1767556086552502,0.0610974793346551,4.095488586868084,109.9754628023792,0.9821492198184664,0.2677624225901787,0.23023996796105792,0.5023580456517638,0.2677624225901794,0.2302399679610551,0.5023580456517638
D1,2122,1.0,9.5,34.0,12.944444444444445,8.11111111111111,12.944444444444445,53.0,53.0,0.0,46.94444444444444,1.380718954248366,0.055555555555555525,0.05555555555555552,0.05555555555555555,0.1723208415516108,0.0607919890760127,4.099831248261291,109.42558033682296,0.9831906441586413,0.2530024195673533,0.2168076415149651,0.4897539707256306,0.2530024195673543,0.2168076415149623,0.48975397072563037
D1,2223,1.0,9.5,34.0,12.833333333333334,8.333333333333334,12.833333333333334,53.94444444444444,53.94444444444444,0.0,46.833333333333336,1.3774509803921569,0.055555555555555525,0.05555555555555551,0.05555555555555555,0.1620535125873204,0.0601661298334339,4.1114564790094015,108.2990337001811,0.9859785194187695,0.22276353616275596,0.180849531894897,0.4605731410376477,0.222763536162759,0.1808495318948943,0.46057314103764757
D2,1314,0.0,9.5,34.0,12.11111111111111,9.777777777777779,12.11111111111111,43.611111111111114,43.611111111111114,0.0,46.111111111111114,1.3562091503267972,0.0555555555555555,0.0555555555555555,0.05555555555555555,0.1228915662650602,0.0583132530120481,4.13370886630557,104.96385542168672,0.9913149193032932,0.1332403297400124,0.112020465268941,0.3492707672796448,0.1332403297400124,0.112020465268941,0.3492707672796448
D2,1415,0.0,9.5,34.0,11.61111111111111,10.777777777777779,11.61111111111111,42.388888888888886,42.388888888888886,0.0,45.611111111111114,1.3415032679738563,0.0555555555555555,0.055555555555555525,0.05555555555555555,0.1082013804303694,0.057609255223346895,4.143822158485412,103.69665940202448,0.9937402128460653,0.0992261207911837,0.080738946931628,0.3075197128021026,0.099226120791183,0.0807389469316308,0.3075197128021027
D2,1516,0.0,9.5,34.0,12.222222222222221,9.555555555555555,12.222222222222221,44.888888888888886,44.888888888888886,0.0,46.22222222222222,1.3594771241830064,0.05555555555555551,0.05555555555555551,0.05555555555555555,0.1420940170940171,0.05926694249260351,4.122889004819855,106.6804964866864,0.9887201816324784,0.1793185899057931,0.145487479714267,0.4038461538461539,0.1793185899057921,0.1454874797142697,0.4038461538461539
